882728510995697694 | 2021-09-01 20:47:57.324000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 0xFF00FF Opis
882728764549758987 | 2021-09-01 20:48:57.776000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł oxFF00FF Opis
882729169660805120 | 2021-09-01 20:50:34.362000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 5 Opis
882729323931533352 | 2021-09-01 20:51:11.143000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 0x00FF00 Opis
882729524511514734 | 2021-09-01 20:51:58.965000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed Tytuł Opis
882729574289522698 | 2021-09-01 20:52:10.833000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed Tytuł Opis
882729575124189244 | 2021-09-01 20:52:11.032000 | test(485194231665786888) | Vipper#9675 | 
882730506012221480 | 2021-09-01 20:55:52.973000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 4d1aaa
882730596621770762 | 2021-09-01 20:56:14.576000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 2
882731023031468052 | 2021-09-01 20:57:56.240000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 2
882731023794851880 | 2021-09-01 20:57:56.422000 | test(485194231665786888) | Vipper#9675 | 
882731048860012604 | 2021-09-01 20:58:02.398000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 100
882731049845661716 | 2021-09-01 20:58:02.633000 | test(485194231665786888) | Vipper#9675 | 
882731092996657182 | 2021-09-01 20:58:12.921000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed tytuł 500
882731093936197632 | 2021-09-01 20:58:13.145000 | test(485194231665786888) | Vipper#9675 | 
882732274469208115 | 2021-09-01 21:02:54.606000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed test 43775
882732711935115264 | 2021-09-01 21:04:38.906000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed 43775 test tytuł
882732712761376828 | 2021-09-01 21:04:39.103000 | test(485194231665786888) | Vipper#9675 | 
882732909780430859 | 2021-09-01 21:05:26.076000 | test(485194231665786888) | Przemekkk#2137 | v!sendembed 43775 test tytuł
882732910971592754 | 2021-09-01 21:05:26.360000 | test(485194231665786888) | Vipper#9675 | 
882733098566029383 | 2021-09-01 21:06:11.086000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
EDITED: 882733098566029383 | 2021-09-01 21:06:11.086000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=2OWydjT-16o | AFTER: v!play https://www.youtube.com/watch?v=2OWydjT-16o
882733107780919326 | 2021-09-01 21:06:13.283000 | test(485194231665786888) | Vipper#9675 | Użytkownik nie jest połączony z żadnym kanałem głosowym
882733133093548032 | 2021-09-01 21:06:19.318000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
882733142069362758 | 2021-09-01 21:06:21.458000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882733179214135337 | 2021-09-01 21:06:30.314000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882733185350385736 | 2021-09-01 21:06:31.777000 | test(485194231665786888) | Vipper#9675 | 
882733353277718529 | 2021-09-01 21:07:11.814000 | test(485194231665786888) | Żukasz#3699 | Kiedy to zadziała?
882733372248567869 | 2021-09-01 21:07:16.337000 | test(485194231665786888) | Przemekkk#2137 | chuj wie
882733388316967012 | 2021-09-01 21:07:20.168000 | test(485194231665786888) | Żukasz#3699 | Ok
882733432172589057 | 2021-09-01 21:07:30.624000 | test(485194231665786888) | Przemekkk#2137 | znaczy... działa, ale nie tak jak chcę
882733485025030257 | 2021-09-01 21:07:43.225000 | test(485194231665786888) | Przemekkk#2137 | bo chcę, żeby przy zmianie piosenki wypisywało jej tytuł
882733518839496744 | 2021-09-01 21:07:51.287000 | test(485194231665786888) | Przemekkk#2137 | ale jedynie co wypisuje, to errory w konsoli
882733959396589590 | 2021-09-01 21:09:36.324000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
882733973451722762 | 2021-09-01 21:09:39.675000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882734002807664682 | 2021-09-01 21:09:46.674000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882734012945281035 | 2021-09-01 21:09:49.091000 | test(485194231665786888) | Vipper#9675 | 
882734316310921236 | 2021-09-01 21:11:01.419000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
882734329967546418 | 2021-09-01 21:11:04.675000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882734338440036413 | 2021-09-01 21:11:06.695000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882734344198836244 | 2021-09-01 21:11:08.068000 | test(485194231665786888) | Vipper#9675 | 
882734946056273982 | 2021-09-01 21:13:31.562000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
882734960019136532 | 2021-09-01 21:13:34.891000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
882734963177443358 | 2021-09-01 21:13:35.644000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
882734968638431272 | 2021-09-01 21:13:36.946000 | test(485194231665786888) | Vipper#9675 | 
