883076962057330768 | 2021-09-02 19:52:34.531000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883076962472562728 | 2021-09-02 19:52:34.630000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883076971876196432 | 2021-09-02 19:52:36.872000 | test(485194231665786888) | Vipper#9675 | 
883077056592744478 | 2021-09-02 19:52:57.070000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883077158514335904 | 2021-09-02 19:53:21.370000 | test(485194231665786888) | Vipper#9675 | 
883077312667590728 | 2021-09-02 19:53:58.123000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883077319806300221 | 2021-09-02 19:53:59.825000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883077330866667550 | 2021-09-02 19:54:02.462000 | test(485194231665786888) | Vipper#9675 | 
883077344250695801 | 2021-09-02 19:54:05.653000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883077350521180212 | 2021-09-02 19:54:07.148000 | test(485194231665786888) | Vipper#9675 | 
883077414241050634 | 2021-09-02 19:54:22.340000 | test(485194231665786888) | Vipper#9675 | 
883077509883764816 | 2021-09-02 19:54:45.143000 | test(485194231665786888) | Vipper#9675 | 
883077667203743744 | 2021-09-02 19:55:22.651000 | test(485194231665786888) | Przemekkk#2137 | HA KURWA
883077683842527282 | 2021-09-02 19:55:26.618000 | test(485194231665786888) | Przemekkk#2137 | JEBANE 3 GODZINY ROBOTY
883077703757074453 | 2021-09-02 19:55:31.366000 | test(485194231665786888) | Przemekkk#2137 | NAD KURWA EMBEDEM
883077712531562569 | 2021-09-02 19:55:33.458000 | test(485194231665786888) | Przemekkk#2137 | JA PIERDOLE
883077723067645992 | 2021-09-02 19:55:35.970000 | test(485194231665786888) | Przemekkk#2137 | ALE WYSZŁO
883077741073813515 | 2021-09-02 19:55:40.263000 | test(485194231665786888) | Przemekkk#2137 | AAAAAAAAAAAAAAAAAAAAAAAA
883077884690976789 | 2021-09-02 19:56:14.504000 | test(485194231665786888) | Vipper#9675 | 
883078151377408030 | 2021-09-02 19:57:18.087000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883078252124586035 | 2021-09-02 19:57:42.107000 | test(485194231665786888) | Vipper#9675 | 
883078892380897322 | 2021-09-02 20:00:14.756000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
EDITED: 883078892380897322 | 2021-09-02 20:00:14.756000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=pmanD_s7G3U | AFTER: v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883078907610423316 | 2021-09-02 20:00:18.387000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883078921917202443 | 2021-09-02 20:00:21.798000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883078928078626816 | 2021-09-02 20:00:23.267000 | test(485194231665786888) | Vipper#9675 | 
883078937733918761 | 2021-09-02 20:00:25.569000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
EDITED: 883078937733918761 | 2021-09-02 20:00:25.569000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ | AFTER: v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883079090935046187 | 2021-09-02 20:01:02.095000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883079283466195074 | 2021-09-02 20:01:47.998000 | test(485194231665786888) | Vipper#9675 | 
883079378827890738 | 2021-09-02 20:02:10.734000 | test(485194231665786888) | Vipper#9675 | 
883079877815849040 | 2021-09-02 20:04:09.702000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883079891929694280 | 2021-09-02 20:04:13.067000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883079917552693320 | 2021-09-02 20:04:19.176000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883079923395334245 | 2021-09-02 20:04:20.569000 | test(485194231665786888) | Vipper#9675 | 
883079939535040583 | 2021-09-02 20:04:24.417000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883080181256949851 | 2021-09-02 20:05:22.048000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883080195530194995 | 2021-09-02 20:05:25.451000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883080220184313926 | 2021-09-02 20:05:31.329000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883080225880150068 | 2021-09-02 20:05:32.687000 | test(485194231665786888) | Vipper#9675 | 
883080292900954142 | 2021-09-02 20:05:48.666000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883080571826339870 | 2021-09-02 20:06:55.167000 | test(485194231665786888) | Vipper#9675 | 
883080688314777610 | 2021-09-02 20:07:22.940000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883080985191809024 | 2021-09-02 20:08:33.721000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883081000198995968 | 2021-09-02 20:08:37.299000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883081025125761164 | 2021-09-02 20:08:43.242000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883081030381240391 | 2021-09-02 20:08:44.495000 | test(485194231665786888) | Vipper#9675 | 
883081046839676968 | 2021-09-02 20:08:48.419000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
EDITED: 883081046839676968 | 2021-09-02 20:08:48.419000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=okg-KjO5ta0 | AFTER: v!play https://www.youtube.com/watch?v=okg-KjO5ta0
883081065252675624 | 2021-09-02 20:08:52.809000 | test(485194231665786888) | Vipper#9675 | 
883081376356794428 | 2021-09-02 20:10:06.982000 | test(485194231665786888) | Vipper#9675 | 
883081471676547132 | 2021-09-02 20:10:29.708000 | test(485194231665786888) | Vipper#9675 | 
883081987986960405 | 2021-09-02 20:12:32.806000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883082002516041728 | 2021-09-02 20:12:36.270000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883082021986000906 | 2021-09-02 20:12:40.912000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883082027992219718 | 2021-09-02 20:12:42.344000 | test(485194231665786888) | Vipper#9675 | 
883082044811395072 | 2021-09-02 20:12:46.354000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
883082053434875944 | 2021-09-02 20:12:48.410000 | test(485194231665786888) | Vipper#9675 | 
883082129452433458 | 2021-09-02 20:13:06.534000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883082379151954070 | 2021-09-02 20:14:06.067000 | test(485194231665786888) | Vipper#9675 | 
883082473758679051 | 2021-09-02 20:14:28.623000 | test(485194231665786888) | Vipper#9675 | 
883083565976412160 | 2021-09-02 20:18:49.028000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
883083580627111987 | 2021-09-02 20:18:52.521000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883083593247752232 | 2021-09-02 20:18:55.530000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883083894713372692 | 2021-09-02 20:20:07.405000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883083905454993488 | 2021-09-02 20:20:09.966000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883084215908978769 | 2021-09-02 20:21:23.984000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883084227145502750 | 2021-09-02 20:21:26.663000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883084300738785332 | 2021-09-02 20:21:44.209000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883084312075976704 | 2021-09-02 20:21:46.912000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883084313632051230 | 2021-09-02 20:21:47.283000 | test(485194231665786888) | Vipper#9675 | Nie udało się użyć tego wideo, spróbuj z innym
883084521870868530 | 2021-09-02 20:22:36.931000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883084531136102410 | 2021-09-02 20:22:39.140000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883084532092375051 | 2021-09-02 20:22:39.368000 | test(485194231665786888) | Vipper#9675 | 
883084619610730606 | 2021-09-02 20:23:00.234000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883084628636880937 | 2021-09-02 20:23:02.386000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883084629471555634 | 2021-09-02 20:23:02.585000 | test(485194231665786888) | Vipper#9675 | 
883084701223489557 | 2021-09-02 20:23:19.692000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883084710178357268 | 2021-09-02 20:23:21.827000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883084711751208980 | 2021-09-02 20:23:22.202000 | test(485194231665786888) | Vipper#9675 | 
883096225317003284 | 2021-09-02 21:09:07.250000 | test(485194231665786888) | Żukasz#3699 | Kiedyś to zadziała
883096336839376957 | 2021-09-02 21:09:33.839000 | test(485194231665786888) | Żukasz#3699 | Nie poddawaj sie
883098753077219338 | 2021-09-02 21:19:09.915000 | test(485194231665786888) | Przemekkk#2137 | tak działa programowanie, jeśli coś nie działa, to spróbuj "pożyczyć" rozwiązanie z innego źródła, któreś w końcu zadziała
883099012939546714 | 2021-09-02 21:20:11.871000 | test(485194231665786888) | Żukasz#3699 | Proste
883099479857844224 | 2021-09-02 21:22:03.193000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
EDITED: 883099479857844224 | 2021-09-02 21:22:03.193000 | test(485194231665786888) | Przemekkk#2137 | BEFORE: v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ | AFTER: v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883099490796568616 | 2021-09-02 21:22:05.801000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883099491950010468 | 2021-09-02 21:22:06.076000 | test(485194231665786888) | Vipper#9675 | 
883099714004852816 | 2021-09-02 21:22:59.018000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883099717217714197 | 2021-09-02 21:22:59.784000 | test(485194231665786888) | Vipper#9675 | 
883099752722468884 | 2021-09-02 21:23:08.249000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=Dg2tPIrcSaQ
883099763480875010 | 2021-09-02 21:23:10.814000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883099764877590598 | 2021-09-02 21:23:11.147000 | test(485194231665786888) | Vipper#9675 | 
883099791070998530 | 2021-09-02 21:23:17.392000 | test(485194231665786888) | Przemekkk#2137 | git, działa że nie działa
883099792962637885 | 2021-09-02 21:23:17.843000 | test(485194231665786888) | Przemekkk#2137 | ez
883100583702171689 | 2021-09-02 21:26:26.370000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
883100600810750013 | 2021-09-02 21:26:30.449000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883100650681008188 | 2021-09-02 21:26:42.339000 | test(485194231665786888) | Przemekkk#2137 | v!pause
883100675255451680 | 2021-09-02 21:26:48.198000 | test(485194231665786888) | Przemekkk#2137 | v!resume
883100744046223370 | 2021-09-02 21:27:04.599000 | test(485194231665786888) | Przemekkk#2137 | v!stop
883101483791433800 | 2021-09-02 21:30:00.968000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=okg-KjO5ta0
883101499750772746 | 2021-09-02 21:30:04.773000 | test(485194231665786888) | Vipper#9675 | Połączono z kanałem głosowym 🎮gierki🎮
883101565253210192 | 2021-09-02 21:30:20.390000 | test(485194231665786888) | Przemekkk#2137 | v!pause
883101566402457720 | 2021-09-02 21:30:20.664000 | test(485194231665786888) | Vipper#9675 | 
883101595011780608 | 2021-09-02 21:30:27.485000 | test(485194231665786888) | Przemekkk#2137 | v!resume
883101595812904980 | 2021-09-02 21:30:27.676000 | test(485194231665786888) | Vipper#9675 | 
883101670807052288 | 2021-09-02 21:30:45.556000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=pmanD_s7G3U
883101680059691008 | 2021-09-02 21:30:47.762000 | test(485194231665786888) | Vipper#9675 | 
883101717657448468 | 2021-09-02 21:30:56.726000 | test(485194231665786888) | Przemekkk#2137 | v!stop
883101718886363207 | 2021-09-02 21:30:57.019000 | test(485194231665786888) | Vipper#9675 | 
883101720136269854 | 2021-09-02 21:30:57.317000 | test(485194231665786888) | Vipper#9675 | 
883102119677268008 | 2021-09-02 21:32:32.575000 | test(485194231665786888) | Przemekkk#2137 | v!play https://www.youtube.com/watch?v=2OWydjT-16o
